Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,lat,lng,Spring_tavg,Spring_tmin,Spring_tmax,Spring_prcp,Spring_tsun,Summer_tavg,Summer_tmin,Summer_tmax,Summer_prcp,Summer_tsun,Fall_tavg,Fall_tmin,Fall_tmax,Fall_prcp,Fall_tsun
Brut Millésimé Champagne 2008,France,Champagne,Laurent-Perrier,4.2,624,59.95,2008,45.831944,-0.906667,13.325702667236328,9.315804481506348,17.472184499104817,2.2826882004737854,34636.962890625,18.634504954020183,14.564908345540365,22.5864315032959,1.6996057828267415,42903.044270833336,12.892894744873047,9.019908428192139,17.159442901611328,1.0236559609572093,30001.171875
Riserva Lunelli 2009,Italy,Trento,Ferrari,4.3,631,51.59,2009,46.1029536,11.1297425,8.792540709177652,4.8126539786656695,12.546077092488607,4.644516309102376,34369.535807291664,18.070126215616863,14.087188402811686,21.50122006734212,4.417383511861165,43792.869791666664,9.804683208465576,6.524249076843262,13.104160149892172,5.554372787475586,27549.890625
Weisser Mulatschak 2018,Austria,Burgenland,Meinklang,4.3,640,11.5,2018,47.5000001,16.4166666,11.153888384501139,7.011551698048909,15.365225156148275,1.5800358057022095,34892.228515625,21.435616811116535,16.830746332804363,26.032572428385418,2.367491086324056,42252.044270833336,10.61374044418335,7.57845139503479,14.220566113789877,2.744444410006205,23270.712890625
Lightly Sparkling - Sauvignon Blanc 2017,New Zealand,Marlborough,Villa Maria,4.0,667,10.99,2017,-41.4744747,173.8330263,13.5973908106486,9.74874750773112,18.697224934895832,1.927777846654256,31819.727213541668,7.503441333770752,3.7650914192199707,12.233460744222006,1.798960566520691,25565.860026041668,12.132893244425455,8.171578884124756,17.121596654256184,2.777634382247925,37068.005208333336
Belle Epoque Brut Champagne 2012,France,Champagne,Perrier-Jouët,4.4,743,95.53,2012,45.831944,-0.906667,14.226979891459147,9.21580425898234,19.2163241704305,0.6416845818360647,39372.106119791664,19.29712168375651,14.848707516988119,23.680267333984375,1.7554123004277546,42400.75,15.879158973693846,12.244102160135904,20.07931645711263,1.0970967411994934,28894.052734375
Riesling Brut 2015,Germany,Pfalz,Reichsrat von Buhl,3.8,763,14.9,2015,53.8156324,13.3702287,9.900286197662354,5.780543088912964,13.986008326212565,1.57415775458018,34671.641927083336,17.84143829345703,13.542639096577963,21.834484736124676,2.5456273555755615,43862.809895833336,11.58355442682902,8.952961921691895,14.357281049092608,1.6344802876313527,19580.325520833332
La Grande Dame Brut Champagne 2008,France,Champagne,Veuve Clicquot,4.4,833,142.99,2008,45.831944,-0.906667,13.325702667236328,9.315804481506348,17.472184499104817,2.2826882004737854,34636.962890625,18.634504954020183,14.564908345540365,22.5864315032959,1.6996057828267415,42903.044270833336,12.892894744873047,9.019908428192139,17.159442901611328,1.0236559609572093,30001.171875
Riesling Brut 2016,Germany,Pfalz,Reichsrat von Buhl,3.9,897,14.9,2016,53.8156324,13.3702287,8.277437210083008,3.960901419321696,12.330579121907553,1.4794982274373372,34137.586588541664,17.917921384175617,13.173858324686686,22.203176498413086,1.8152329921722412,41436.838541666664,9.976432959238688,7.182998180389404,12.940203030904135,2.2197850147883096,20185.453776041668
Vintage Brut Champagne 2008,France,Champagne,Veuve Clicquot,4.2,899,71.69,2008,45.831944,-0.906667,13.325702667236328,9.315804481506348,17.472184499104817,2.2826882004737854,34636.962890625,18.634504954020183,14.564908345540365,22.5864315032959,1.6996057828267415,42903.044270833336,12.892894744873047,9.019908428192139,17.159442901611328,1.0236559609572093,30001.171875
Cava Gran Reserva Brut Nature Reserva de la Familia 2016,Spain,Cava,Juvé & Camps,4.0,908,16.48,2016,42.3165817,1.6111497,9.434209982554117,3.6105107640226684,14.625044822692871,1.4291398127873738,40312.766927083336,19.000328699747723,13.529328028361002,23.578898747762043,2.4851613442103067,44754.208333333336,10.023467222849527,5.23441747824351,14.77918529510498,2.4077419439951577,31233.835286458332
Rosé Brut Champagne (Vintage) 2013,France,Champagne,Louis Roederer,4.2,913,62.9,2013,45.831944,-0.906667,12.41511058807373,8.040732860565186,16.857632954915363,2.3355556229750314,37329.178385416664,19.737826665242512,15.226252873738607,24.30971082051595,1.2696056962013245,43709.716145833336,14.155823389689127,10.596306165059408,18.038814226786297,2.670035799344381,25688.786458333332
Otello 1813 Nero di Lambrusco 2015,Italy,Emilia,Ceci,4.0,974,14.9,2015,44.4914458,11.3435713,13.788523356119791,8.539643287658691,18.82254695892334,2.497992833455404,36873.682291666664,22.431122461954754,17.252117156982422,27.299536387125652,3.191397786140442,41973.83984375,15.96907869974772,12.264320691426596,20.118998527526855,2.005125492811203,26266.898111979168
Rosé Brut Champagne (Vintage) 2011,France,Champagne,Louis Roederer,4.3,1033,62.9,2011,45.831944,-0.906667,11.418988227844238,7.148600021998088,15.755679448445639,1.4872042338053386,37523.614583333336,20.006350835164387,15.382399241129557,24.535428365071613,1.200824320316315,43068.02734375,13.458086967468262,9.70978307723999,17.433868726094563,2.1889605720837912,27233.801432291668
Brut Millésimé Champagne 2006,France,Champagne,Laurent-Perrier,4.2,1074,54.0,2006,45.831944,-0.906667,12.190465927124023,7.750141620635986,16.641969680786133,1.3188889026641846,37650.3046875,21.4609800974528,16.42585817972819,26.4530086517334,0.5212545096874237,45406.325520833336,14.702623049418131,10.838797251383463,19.108026186625164,1.5908601880073547,29617.76953125
Brut Grand Millesimé Champagne 2006,France,Champagne,Gosset,4.2,1086,67.5,2006,45.831944,-0.906667,12.190465927124023,7.750141620635986,16.641969680786133,1.3188889026641846,37650.3046875,21.4609800974528,16.42585817972819,26.4530086517334,0.5212545096874237,45406.325520833336,14.702623049418131,10.838797251383463,19.108026186625164,1.5908601880073547,29617.76953125
'Giulio Ferrari' Riserva del Fondatore 2007,Italy,Trento,Ferrari,4.6,1191,122.27,2007,46.1029536,11.1297425,7.723453402519226,3.6958442529042568,11.379141807556152,3.044086138407389,35589.136067708336,18.354278564453125,14.126166661580404,21.99591573079427,2.513010819753011,44987.571614583336,11.788392066955566,8.188657919565836,15.368209838867188,2.7456272542476654,28986.923177083332
