Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,city,country,lat,lng
Emilio Primo Rosso 2017,Italy,Bolgheri,Terre del Marchesato,3.7,229,22.0,2017,Bolgheri,Italy,43.2340065,10.6179334
Paolo e Carlo Primitivo di Manduria Riserva Sessantasei 66 2016,Italy,Primitivo di Manduria,Conte di Campiano,4.1,229,8.66,2016,Primitivo di Manduria,Italy,40.4002788,17.6374622
Le Cicale di Vincigliata Chianti 2015,Italy,Chianti,Bibi Graetz,3.3,229,12.28,2015,Chianti,Italy,43.5824597,11.3168731
Domaine de Bila-Haut Occultum Lapidem 2017,France,Côtes du Roussillon Villages 'Latour de France',M. Chapoutier,3.9,229,17.5,2017,Côtes du Roussillon Villages 'Latour de France',France,45.096585,0.713981
Barbera d'Asti Lavignone 2016,Italy,Barbera d'Asti,Pico Maccario,3.8,2290,6.95,2016,Barbera d'Asti,Italy,44.8524808,8.2414532
Haus Klosterberg Pinot Noir 2016,Germany,Mosel,Markus Molitor,3.9,230,15.5,2016,Mosel,Germany,50.7810263,12.4780171
Altos R Crianza 2016,Spain,Rioja,Altos de Rioja,3.4,230,7.9,2016,Rioja,Spain,42.3285528,-2.4674917
Costa Toscana 2013,Italy,Costa Toscana,Ampeleia,3.9,230,28.17,2013,Costa Toscana,Italy,44.3847518,9.8466946
Lagrein 2018,Italy,Südtirol - Alto Adige,Kurtatsch (Cortaccia),3.7,230,16.55,2018,Südtirol - Alto Adige,Italy,46.441472,11.282121
Canoe Ridge Estate Merlot 2014,United States,Horse Heaven Hills,Chateau Ste. Michelle,3.8,230,28.35,2014,Horse Heaven Hills,United States,46.1808124,-119.1527983
Tavedo Douro 2016,Portugal,Douro,Burmester,3.3,230,8.33,2016,Douro,Portugal,41.135684,-7.1166743
Perlato del Bosco 2015,Italy,Toscana,Tua Rita,3.8,230,24.74,2015,Toscana,Italy,43.4586541,11.1389204
Tenuta Frescobaldi di Castiglioni 2017,Italy,Toscana,Frescobaldi,4.2,230,17.06,2017,Toscana,Italy,43.4586541,11.1389204
Cabernet Sauvignon 2017,Chile,Colchagua Valley,Montes Alpha,3.9,2300,12.94,2017,Colchagua Valley,Chile,-30.0,-71.0
Vino Nobile di Montepulciano 2014,Italy,Vino Nobile di Montepulciano,La Braccesca,3.8,2302,23.95,2014,Vino Nobile di Montepulciano,Italy,43.0716467,11.8054771
Solanera Viñas Viejas 2015,Spain,Yecla,Castaño,3.7,2306,14.52,2015,Yecla,Spain,38.6135956,-1.1157882
Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva 2016,Italy,Chianti Classico,Antinori,4.3,2308,34.89,2016,Chianti Classico,Italy,43.3930219,11.3088538
Castello di Bibbione Chianti Classico Riserva 2013,Italy,Chianti Classico,Castelli del Grevepesa,3.9,231,23.65,2013,Chianti Classico,Italy,43.3930219,11.3088538
Saga Bordeaux Rouge 2014,France,Bordeaux,Barons de Rothschild (Lafite),3.4,231,11.95,2014,Bordeaux,France,44.841225,-0.5800364
Reserva 2016,Spain,Ribera del Duero,Tinto Pesquera,4.4,231,29.89,2016,Ribera del Duero,Spain,41.6657566,-3.6863295
Saint-Émilion Grand Cru (Grand Cru Classé) 2008,France,Saint-Émilion Grand Cru,Château Grand Mayne,4.1,231,49.95,2008,Saint-Émilion Grand Cru,France,44.847147,-0.547337
Cantus Primus Fetească Neagră 2016,Romania,Dealu Mare,Vitis Metamorfosis,4.0,231,19.2,2016,Dealu Mare,Romania,46.0417098,22.7959016
The Steading 2017,Australia,Barossa Valley,Torbreck,4.1,231,48.37,2017,Barossa Valley,Australia,-34.5817132,138.9987872
Don Cosimo Primitivo 2018,Italy,Salento,Cantine due Palme,3.8,231,6.99,2018,Salento,Italy,40.248604,15.190058
Le Cicale di Vincigliata Chianti 2016,Italy,Chianti,Bibi Graetz,3.6,231,12.28,2016,Chianti,Italy,43.5824597,11.3168731
Margaux 2011,France,Margaux,Château Monbrison,3.8,231,34.07,2011,Margaux,France,45.0463335,-0.6729117
Primitivo 2018,Italy,Puglia,Polvanera,4.0,231,8.9,2018,Puglia,Italy,40.9842539,16.6210027
Ripa della Volta Valpolicella Ripasso 2015,Italy,Valpolicella Ripasso,Ottella,4.2,231,20.27,2015,Valpolicella Ripasso,Italy,42.83333,12.83333
Cordillera Reserva Especial Cabernet Sauvignon 2015,Chile,Maipo Valley,Miguel Torres,3.8,231,16.48,2015,Maipo Valley,Chile,-30.0,-71.0
Palazzo della Torre 2016,Italy,Verona,Allegrini,4.0,2315,13.55,2016,Verona,Italy,45.4424977,10.9857377
Bin 28 Kalimna Shiraz 2016,Australia,Barossa Valley,Penfolds,4.1,2315,42.5,2016,Barossa Valley,Australia,-34.5817132,138.9987872
Vino Nobile di Montepulciano Riserva 2013,Italy,Vino Nobile di Montepulciano,Poggio Alla Sala,3.8,232,17.45,2013,Vino Nobile di Montepulciano,Italy,43.0716467,11.8054771
Vecchie Viti Chianti Rùfina Riserva 2016,Italy,Chianti Rùfina,Castello Nipozzano,3.8,232,18.9,2016,Chianti Rùfina,Italy,42.83333,12.83333
Pauillac (Grand Cru Classé) 2016,France,Pauillac,Château Clerc Milon,4.0,232,96.85,2016,Pauillac,France,45.1995626,-0.7484994
Nostre Païs Rouge 2015,France,Costières-de-Nîmes,Michel Gassier,3.7,232,30.0,2015,Costières-de-Nîmes,France,43.8174458,4.358032
Santenay 2016,France,Santenay,Joseph Drouhin,4.0,232,23.29,2016,Santenay,France,46.9115071,4.6996302
Massaluca 2017,Spain,Terra Alta,Ramón Roqueta,3.8,232,11.02,2017,Terra Alta,Spain,41.0273523,0.4105997
Svmma Varietalis Red Blend (Summa) 2005,Spain,Dominio de Valdepusa,Marqués de Griñon,4.1,232,19.45,2005,Dominio de Valdepusa,Spain,40.0,-4.0
Gigondas 2017,France,Gigondas,Château de Saint Cosme,3.9,232,33.0,2017,Gigondas,France,44.1641127,5.0051053
Pinot Noir 2015,Chile,Casablanca Valley,Ritual,3.8,2323,15.69,2015,Casablanca Valley,Chile,-30.0,-71.0
Barolo 2011,Italy,Barolo,Brovia,4.2,233,38.7,2011,Barolo,Italy,44.6108408,7.9428448
Pauillac (Grand Cru Classé) 2016,France,Pauillac,Château Pontet-Canet,4.5,233,166.45,2016,Pauillac,France,45.1995626,-0.7484994
Cabernet Sauvignon Reserva 2015,Chile,Maipo Valley,Escudo Rojo,3.6,233,9.95,2015,Maipo Valley,Chile,-30.0,-71.0
Poggio Valente 2016,Italy,Toscana,Fattoria le Pupille,4.0,233,23.18,2016,Toscana,Italy,43.4586541,11.1389204
Salzberg 2012,Austria,Burgenland,Heinrich,4.4,233,77.0,2012,Burgenland,Austria,47.5000001,16.4166666
Altura Máxima Malbec 2014,Argentina,Salta,Colomé,4.3,233,102.41,2014,Salta,Argentina,-25.1076701,-64.3494964
